ABC command line: "read_truth -xf ./truth_table/05.txt; strash; lsv_sim_aig ./tt.in".

0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,
1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,
0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,
0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,
1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,
1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,
1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,
1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,
0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,
0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,
1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,
po
0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,
0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,
